no,varname,class,type,isuse,isuse_Tree,fileName
1,autoNo,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
2,no,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
3,id,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
4,cuisine,character,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
5,num_ingredients,integer,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
6,ingredients_str,character,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
7,ing0001_salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
8,ing0002_onions,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
9,ing0003_olive oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
10,ing0004_water,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
11,ing0005_garlic,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
12,ing0006_sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
13,ing0007_garlic cloves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
14,ing0008_butter,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
15,ing0009_ground black pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
16,ing0010_all-purpose flour,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
17,ing0011_vegetable oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
18,ing0012_pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
19,ing0013_eggs,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
20,ing0014_soy sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
21,ing0015_kosher salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
22,ing0016_green onions,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
23,ing0017_tomatoes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
24,ing0018_large eggs,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
25,ing0019_carrots,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
26,ing0020_unsalted butter,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
27,ing0021_ground cumin,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
28,ing0022_extra-virgin olive oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
29,ing0023_black pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
30,ing0024_milk,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
31,ing0025_chili powder,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
32,ing0026_oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
33,ing0027_red bell pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
34,ing0028_purple onion,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
35,ing0029_scallions,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
36,ing0030_grated parmesan cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
37,ing0031_corn starch,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
38,ing0032_ginger,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
39,ing0033_sesame oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
40,ing0034_jalapeno chilies,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
41,ing0035_baking powder,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
42,ing0036_dried oregano,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
43,ing0037_chopped cilantro fresh,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
44,ing0038_fresh lemon juice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
45,ing0039_diced tomatoes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
46,ing0040_minced garlic,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
47,ing0041_fresh parsley,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
48,ing0042_sour cream,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
49,ing0043_chicken broth,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
50,ing0044_cayenne pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
51,ing0045_cooking spray,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
52,ing0046_brown sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
53,ing0047_fresh ginger,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
54,ing0048_shallots,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
55,ing0049_lime,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
56,ing0050_garlic powder,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
57,ing0051_lemon juice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
58,ing0052_fresh lime juice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
59,ing0053_flour,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
60,ing0054_honey,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
61,ing0055_vanilla extract,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
62,ing0056_paprika,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
63,ing0057_fish sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
64,ing0058_chopped onion,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
65,ing0059_canola oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
66,ing0060_lemon,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
67,ing0061_ground cinnamon,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
68,ing0062_rice vinegar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
69,ing0063_avocado,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
70,ing0064_dry white wine,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
71,ing0065_yellow onion,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
72,ing0066_green bell pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
73,ing0067_heavy cream,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
74,ing0068_tomato paste,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
75,ing0069_cilantro leaves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
76,ing0070_cilantro,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
77,ing0071_fresh basil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
78,ing0072_white sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
79,ing0073_boneless skinless chicken breasts,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
80,ing0074_flat leaf parsley,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
81,ing0075_lime juice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
82,ing0076_bay leaves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
83,ing0077_chicken stock,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
84,ing0078_potatoes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
85,ing0079_chicken,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
86,ing0080_corn tortillas,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
87,ing0081_salsa,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
88,ing0082_ground turmeric,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
89,ing0083_cumin seed,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
90,ing0084_freshly ground pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
91,ing0085_cumin,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
92,ing0086_garam masala,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
93,ing0087_baking soda,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
94,ing0088_sea salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
95,ing0089_shrimp,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
96,ing0090_black beans,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
97,ing0091_zucchini,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
98,ing0092_large garlic cloves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
99,ing0093_dried thyme,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
100,ing0094_buttermilk,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
101,ing0095_flour tortillas,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
102,ing0096_tomato sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
103,ing0097_bay leaf,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
104,ing0098_granulated sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
105,ing0099_celery,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
106,ing0100_ground beef,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
107,ing0101_coconut milk,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
108,ing0102_fresh cilantro,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
109,ing0103_plum tomatoes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
110,ing0104_crushed red pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
111,ing0105_chicken breasts,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
112,ing0106_ground coriander,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
113,ing0107_chopped cilantro,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
114,ing0108_mayonaise,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
115,ing0109_whole milk,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
116,ing0110_cucumber,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
117,ing0111_green chilies,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
118,ing0112_shredded cheddar cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
119,ing0113_tumeric,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
120,ing0114_red wine vinegar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
121,ing0115_white onion,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
122,ing0116_cinnamon,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
123,ing0117_curry powder,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
124,ing0118_sesame seeds,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
125,ing0119_worcestershire sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
126,ing0120_ground ginger,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
127,ing0121_hot sauce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
128,ing0122_red pepper flakes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
129,ing0123_red chili peppers,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
130,ing0124_cinnamon sticks,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
131,ing0125_bacon,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
132,ing0126_whipping cream,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
133,ing0127_clove,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
134,ing0128_boneless skinless chicken breast halves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
135,ing0129_peanut oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
136,ing0130_ground nutmeg,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
137,ing0131_warm water,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
138,ing0132_peeled fresh ginger,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
139,ing0133_mushrooms,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
140,ing0134_coarse salt,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
141,ing0135_large egg yolks,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
142,ing0136_celery ribs,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
143,ing0137_dried basil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
144,ing0138_parmesan cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
145,ing0139_cream cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
146,ing0140_ground red pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
147,ing0141_balsamic vinegar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
148,ing0142_white vinegar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
149,ing0143_egg yolks,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
150,ing0144_capers,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
151,ing0145_crushed red pepper flakes,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
152,ing0146_onion powder,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
153,ing0147_rice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
154,ing0148_dijon mustard,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
155,ing0149_cold water,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
156,ing0150_mirin,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
157,ing0151_eggplant,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
158,ing0152_large egg whites,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
159,ing0153_powdered sugar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
160,ing0154_fresh basil leaves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
161,ing0155_lime wedges,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
162,ing0156_cooking oil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
163,ing0157_cayenne,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
